Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-22 00-08-48,2021-10-21 22-08-48,2,6.4,0.2,1801.18,358.64,10,2,6,2,850,5,18.8311,1,1,1,
2021-10-22 00-09-48,2021-10-21 22-09-48,2,4.8,0.2,873.781,361.747,10,2,6,2,36,6,6.57686,1,1,1,
2021-10-22 00-10-49,2021-10-21 22-10-49,2,5.6,0.3,883.488,364.323,10,2,6,2,38,7,7.82975,1,1,1,
2021-10-22 00-11-50,2021-10-21 22-11-50,2,5.6,0.2,904.934,374.31,10,2,6,2,33,8,7.94215,1,1,1,
2021-10-22 00-12-51,2021-10-21 22-12-51,2,4.9,0.5,1219.05,477.988,10,2,9,2,35,8,7.89256,1,1,1,
2021-10-22 00-13-52,2021-10-21 22-13-52,2,4.9,0.3,1247.7,510.271,10,4,9,2,132,9,9.25372,1,1,1,
2021-10-22 00-14-53,2021-10-21 22-14-53,3,4.8,3.9,1338.54,551.506,10,4,9,2,1070,8,9.06612,2,2,1,
2021-10-22 00-15-54,2021-10-21 22-15-54,3,4.9,0.6,1529.96,630.857,10,4,11,2,1070,8,10.2099,2,2,1,
2021-10-22 00-16-55,2021-10-21 22-16-55,3,4.1,0.7,1533.52,635.981,10,4,11,2,19,8,8.21322,2,2,1,
2021-10-22 00-17-56,2021-10-21 22-17-56,3,4.3,0.6,1565.53,646.515,10,4,11,2,813,8,9.10744,2,2,1,
